dt,gas
2021-04-01,85605459.38999999
2021-08-01,90488313.33999997
2021-12-01,98220165.21000004
2021-02-01,89389056.58000003
2021-01-01,101846025.69999982
2021-07-01,87778186.52000004
2021-06-01,84344326.98
2021-03-01,95152032.9499999
2021-05-01,87241130.86999995
2021-11-01,93198485.44999988
2021-10-01,91469709.21999985
2021-09-01,85231552.60999994
2022-04-01,88253581.19999988
2022-08-01,91625483.59
2022-12-01,87443745.09999989
2022-02-01,82796902.02000012
2022-01-01,97075499.65000004
2022-07-01,92896663.70000003
2022-06-01,91145622.15999986
2022-03-01,88576882.72000012
2022-05-01,90996688.14000013
2022-11-01,87013739.14999996
2022-10-01,93725766.2699999
2022-09-01,93117443.97999993
2023-04-01,91272312.3099999
2023-08-01,107835294.66999993
2023-12-01,100344683.42000008
2023-02-01,83188528.80000007
2023-01-01,93816290.60999988
2023-07-01,106566151.89000008
2023-06-01,103133382.06000006
2023-03-01,91896610.63000001
2023-05-01,104490134.4199999
2023-11-01,99264950.0800001
2023-10-01,100919497.61999995
2023-09-01,99195714.76000002
